event_name,event_id,market_type,runner_name,ltp,total_matched,odd,proba
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,2 - 4,108.27826086956522,0.0,107.27826086956522,0.021947355522927852
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,2 - 5,509.0625,0.0,508.0625,0.002305088141025641
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,2 - 6,919.0,0.0,918.0,0.001089010989010989
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,2 - 7,,0.0,,
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,4 - 0,45.93333333333333,0.0,44.93333333333333,0.021843355919442874
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,4 - 1,33.142857142857146,0.0,32.142857142857146,0.030357142857142857
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,4 - 2,59.241379310344826,0.0,58.241379310344826,0.018024449313804636
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,5 - 0,117.41379310344827,0.0,116.41379310344827,0.008659594715629198
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,5 - 1,100.60344827586206,0.0,99.60344827586206,0.010530939263457679
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,5 - 2,153.75,0.0,152.75,0.00848311300774082
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,6 - 0,399.8333333333333,0.0,398.8333333333333,0.002663909675047573
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,6 - 1,266.4583333333333,0.0,265.4583333333333,0.0038021242355012973
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,6 - 2,350.44444444444446,0.0,349.44444444444446,0.002975416796106451
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,7 - 0,1000.0,0.0,999.0,0.001
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,7 - 1,840.0,0.0,839.0,0.0011904761904761906
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,7 - 2,940.0,0.0,939.0,0.0010638297872340426
Barcelona v Paris St-G,30186199,CORRECT_SCORE2,Any unquoted,1.03375,0.0,0.03375000000000003,0.9674063800277393
Barcelona v Paris St-G,30186199,DOUBLE_CHANCE,Draw or Away,1.9657241379310346,0.0,0.9657241379310345,0.5395605681517611
Barcelona v Paris St-G,30186199,DOUBLE_CHANCE,Home or Away,1.3358571428571429,0.0,0.33585714285714285,0.7535706448041615
Barcelona v Paris St-G,30186199,DOUBLE_CHANCE,Home or Draw,2.1745985401459853,0.0,1.1745985401459855,0.7190186766706161
Barcelona v Paris St-G,30186199,DRAW_NO_BET,Barcelona,22.595255474452557,0.0,21.595255474452557,0.6039037176089267
Barcelona v Paris St-G,30186199,DRAW_NO_BET,Paris St-G,3.0684782608695653,0.0,2.0684782608695653,0.39465008897232284
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,1 - 10 Minutes,129.2125,0.0,128.2125,0.18195237190620928
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,11 - 20 Minutes,4.669230769230769,0.0,3.669230769230769,0.21424102801299844
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,21 - 30 Minutes,6.087999999999999,0.0,5.088,0.1643010752688172
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,31 - 40 Minutes,8.135294117647058,0.0,7.135294117647058,0.12293758967001434
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,41 - 50 Minutes,9.411764705882353,0.0,8.411764705882353,0.10628378317099274
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,51 - 60 Minutes,14.191176470588236,0.0,13.191176470588236,0.0704868154158215
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,61 - 70 Minutes,18.544117647058822,0.0,17.544117647058822,0.05396340613058879
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,71 - 80 Minutes,26.352941176470587,0.0,25.352941176470587,0.038072673513849985
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,81 - Full Time,27.176470588235293,0.0,26.176470588235293,0.03725490196078431
Barcelona v Paris St-G,30186199,FIRST_GOAL_ODDS,No Goal,18.5,0.0,17.5,0.05405405405405406
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Abdou Diallo,55.0,0.0,54.0,0.01818181818181818
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Alessandro Florenzi,47.01428571428571,0.0,46.01428571428571,0.021902858751155965
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Ander Herrera,20.0,0.0,19.0,0.05
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Antoine Griezmann,8.521212121212121,0.0,7.521212121212121,0.1174069145759962
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Clement Lenglet,46.07142857142857,0.0,45.07142857142857,0.02197090931234154
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Colin Dagba,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Danilo Pereira,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Edouard Michut,19.5,0.0,18.5,0.05128205128205128
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Francisco Trincao,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Frenkie de Jong,26.008928571428573,0.0,25.008928571428573,0.03893706209234828
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Idrissa Gueye,85.45454545454545,0.0,84.45454545454545,0.012006398829928242
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Ilaix Moriba,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Jordi Alba,44.81159420289855,0.0,43.81159420289855,0.0224803462657905
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Julian Draxler,21.35135135135135,0.0,20.35135135135135,0.04851351351351352
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Junior Firpo,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Konrad De la Fuente,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Kylian Mbappe,7.9,0.0,6.9,0.1269529350772562
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Layvin Kurzawa,64.30232558139535,0.0,63.30232558139535,0.015886439142253097
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Leandro Paredes,96.72413793103448,0.0,95.72413793103448,0.010504132357447186
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Lionel Messi,4.73421052631579,0.0,3.734210526315789,0.21153559293139224
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Marco Verratti,52.55555555555556,0.0,51.55555555555556,0.01919088319088319
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Marquinhos,48.7710843373494,0.0,47.7710843373494,0.020684522392222758
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Martin Braithwaite,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Matheus Fernandes,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Mauro Icardi,9.362727272727273,0.0,8.362727272727273,0.10739235463172171
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Miralem Pjanic,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Mitchel Bakker,50.0,0.0,49.0,0.02
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Moise Kean,12.825757575757576,0.0,11.825757575757576,0.07848925485289122
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,No Goalscorer,19.603092783505154,0.0,18.603092783505154,0.0523277409875348
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Oscar Mingueza,90.0,0.0,89.0,0.011111111111111112
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Ousmane Dembele,11.875,0.0,10.875,0.0845740933784412
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Pablo Sarabia,19.5,0.0,18.5,0.05128205128205128
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Pedri,20.02238805970149,0.0,19.02238805970149,0.054391677973767524
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Presnel Kimpembe,100.86206896551724,0.0,99.86206896551724,0.012105266431491476
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Rafinha,19.68840579710145,0.0,18.68840579710145,0.05136566332218506
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Riqui Puig,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Ronald Araujo,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Samuel Umtiti,7.8,0.0,6.8,0.12820512820512822
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Sergino Dest,86.6413043478261,0.0,85.6413043478261,0.013153087321885274
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Sergio Busquets,86.02941176470588,0.0,85.02941176470588,0.012016479215759858
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Thilo Kehrer,,0.0,,
Barcelona v Paris St-G,30186199,FIRST_GOAL_SCORER,Timothee Pembele,42.0,0.0,41.0,0.023809523809523808
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_05,Over 0.5 Goals,1.433896103896104,0.0,0.43389610389610395,0.7067261724870254
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_05,Under 0.5 Goals,3.5321249999999997,0.0,2.5321249999999997,0.29500996719210043
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_15,Over 1.5 Goals,2.8816455696202534,0.0,1.8816455696202532,0.3738788954023573
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_15,Under 1.5 Goals,1.6304878048780487,0.0,0.6304878048780487,0.627768077578733
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_25,Over 2.5 Goals,12.412727272727272,0.0,11.412727272727272,0.14084618086004314
Barcelona v Paris St-G,30186199,FIRST_HALF_GOALS_25,Under 2.5 Goals,1.17015625,0.0,0.17015625,0.8622328134486051
Barcelona v Paris St-G,30186199,HALF_TIME,Barcelona,4.601636363636364,0.0,3.6016363636363637,0.3647894513815121
Barcelona v Paris St-G,30186199,HALF_TIME,Paris St-G,16.507476635514017,0.0,15.507476635514019,0.17924105046426797
Barcelona v Paris St-G,30186199,HALF_TIME,The Draw,2.483302752293578,0.0,1.483302752293578,0.45718560539827313
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Barcelona/Barcelona,85.4731884057971,0.0,84.4731884057971,0.2784373733955476
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Barcelona/Draw,63.647979797979794,0.0,62.647979797979794,0.05033958027681641
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Barcelona/Paris St-G,83.37320574162679,0.0,82.37320574162679,0.021523013391850507
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Draw/Barcelona,8.273263157894737,0.0,7.273263157894737,0.19198232247917435
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Draw/Draw,7.427961165048544,0.0,6.427961165048544,0.15225391644684233
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Draw/Paris St-G,10.799899497487436,0.0,9.799899497487438,0.13941960893972727
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Paris St-G/Barcelona,63.77142857142857,0.0,62.77142857142857,0.03694800112269329
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Paris St-G/Draw,60.76767676767677,0.0,59.76767676767677,0.048969673952209004
Barcelona v Paris St-G,30186199,HALF_TIME_FULL_TIME,Paris St-G/Paris St-G,47.81414634146341,0.0,46.81414634146341,0.11243955927699685
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,0 - 0,3.425294117647059,0.0,2.425294117647059,0.3139174780722302
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,0 - 1,7.47175572519084,0.0,6.47175572519084,0.13441264933418645
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,0 - 2,30.82442748091603,0.0,29.82442748091603,0.03323813637108157
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,1 - 0,4.186846153846154,0.0,3.1868461538461537,0.2712992639611925
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,1 - 1,8.09812030075188,0.0,7.098120300751879,0.19135596940112884
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,1 - 2,31.664233576642335,0.0,30.664233576642335,0.03680733132963195
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,2 - 0,10.602222222222222,0.0,9.602222222222222,0.10547773327010658
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,2 - 1,21.0125,0.0,20.0125,0.053212396631125175
Barcelona v Paris St-G,30186199,HALF_TIME_SCORE,2 - 2,89.96350364963503,0.0,88.96350364963503,0.012891536705970279
